input_id	dealiased_id	standard_id	short_id
DOI:10.1021/acs.jproteome.3c00825	DOI:10.1021/acs.jproteome.3c00825	doi:10.1021/acs.jproteome.3c00825	XUv5zqVu
DOI:10.1016/j.mcpro.2023.100588	DOI:10.1016/j.mcpro.2023.100588	doi:10.1016/j.mcpro.2023.100588	AVhHIfFo
DOI:10.1038/s41592-020-01022-1	DOI:10.1038/s41592-020-01022-1	doi:10.1038/s41592-020-01022-1	umwkwUjn
DOI:10.1007/978-1-0716-3397-7_13	DOI:10.1007/978-1-0716-3397-7_13	doi:10.1007/978-1-0716-3397-7_13	1AK6I4gVP
DOI:10.1101/2025.04.28.650974	DOI:10.1101/2025.04.28.650974	doi:10.1101/2025.04.28.650974	1F3LPvBP2
DOI:10.1371/journal.pone.0282593	DOI:10.1371/journal.pone.0282593	doi:10.1371/journal.pone.0282593	1c0XVRC1
DOI:10.1021/jacs.3c09078	DOI:10.1021/jacs.3c09078	doi:10.1021/jacs.3c09078	G8GI9D01
DOI:10.1038/s41596-021-00640-z	DOI:10.1038/s41596-021-00640-z	doi:10.1038/s41596-021-00640-z	eQaE8YUq
DOI:10.1016/j.mcpro.2022.100206	DOI:10.1016/j.mcpro.2022.100206	doi:10.1016/j.mcpro.2022.100206	1DCAgfaxv
DOI:10.7554/eLife.77032	DOI:10.7554/eLife.77032	doi:10.7554/elife.77032	3sI32rB2
DOI:10.1073/pnas.2300309120	DOI:10.1073/pnas.2300309120	doi:10.1073/pnas.2300309120	UETOKcpN
DOI:10.1038/s44319-024-00076-y	DOI:10.1038/s44319-024-00076-y	doi:10.1038/s44319-024-00076-y	cYi0OSgq
DOI:10.1038/s41592-024-02553-7	DOI:10.1038/s41592-024-02553-7	doi:10.1038/s41592-024-02553-7	HhtMYgJS
DOI:10.1002/anie.202424779	DOI:10.1002/anie.202424779	doi:10.1002/anie.202424779	12oF7PyjF
DOI:10.1016/j.chembiol.2021.02.017	DOI:10.1016/j.chembiol.2021.02.017	doi:10.1016/j.chembiol.2021.02.017	12LdlQcg6
DOI:10.1007/978-1-0716-4298-6_16	DOI:10.1007/978-1-0716-4298-6_16	doi:10.1007/978-1-0716-4298-6_16	KSJWpyaf
DOI:10.1038/s41467-024-47569-x	DOI:10.1038/s41467-024-47569-x	doi:10.1038/s41467-024-47569-x	ixF12fLE
DOI:10.1039/d1sc00814e	DOI:10.1039/d1sc00814e	doi:10.1039/d1sc00814e	1083OUMws
DOI:10.1016/j.neuron.2022.09.025	DOI:10.1016/j.neuron.2022.09.025	doi:10.1016/j.neuron.2022.09.025	1DXKD97TB
DOI:10.1038/s41589-024-01588-3	DOI:10.1038/s41589-024-01588-3	doi:10.1038/s41589-024-01588-3	1A0ELIyuD
DOI:10.1021/acs.analchem.2c04876	DOI:10.1021/acs.analchem.2c04876	doi:10.1021/acs.analchem.2c04876	uJCnPykT
DOI:10.1073/pnas.2106950118	DOI:10.1073/pnas.2106950118	doi:10.1073/pnas.2106950118	5zsiKMpi
DOI:10.1038/s44320-024-00049-2	DOI:10.1038/s44320-024-00049-2	doi:10.1038/s44320-024-00049-2	wqOAIazw
DOI:10.1038/s41586-022-04547-x	DOI:10.1038/s41586-022-04547-x	doi:10.1038/s41586-022-04547-x	QM5L157g
DOI:10.1021/acs.analchem.4c03312	DOI:10.1021/acs.analchem.4c03312	doi:10.1021/acs.analchem.4c03312	ehunITJ2
DOI:10.1039/d3sc04938h	DOI:10.1039/d3sc04938h	doi:10.1039/d3sc04938h	1AiSIssJj
DOI:10.1021/acs.analchem.4c06994	DOI:10.1021/acs.analchem.4c06994	doi:10.1021/acs.analchem.4c06994	17kjm5RCK
DOI:10.1021/acs.analchem.3c02346	DOI:10.1021/acs.analchem.3c02346	doi:10.1021/acs.analchem.3c02346	1mGBvUhI
DOI:10.1021/jacs.0c11837	DOI:10.1021/jacs.0c11837	doi:10.1021/jacs.0c11837	19wOhPBGo
DOI:10.1021/acsomega.3c02737	DOI:10.1021/acsomega.3c02737	doi:10.1021/acsomega.3c02737	my3tj08K
DOI:10.1038/s41467-024-50350-9	DOI:10.1038/s41467-024-50350-9	doi:10.1038/s41467-024-50350-9	2W5sjAvY
DOI:10.1038/s41557-022-01041-9	DOI:10.1038/s41557-022-01041-9	doi:10.1038/s41557-022-01041-9	1AcwgRB7T
DOI:10.1016/j.str.2024.10.004	DOI:10.1016/j.str.2024.10.004	doi:10.1016/j.str.2024.10.004	dNXuiXTr
DOI:10.1101/2024.08.20.608660	DOI:10.1101/2024.08.20.608660	doi:10.1101/2024.08.20.608660	jPUY8z0i
DOI:10.1038/s41467-024-47033-w	DOI:10.1038/s41467-024-47033-w	doi:10.1038/s41467-024-47033-w	KwvCLBXC
DOI:10.1021/acschembio.2c00648	DOI:10.1021/acschembio.2c00648	doi:10.1021/acschembio.2c00648	jNq0LZ7n
DOI:10.1021/acschembio.3c00637	DOI:10.1021/acschembio.3c00637	doi:10.1021/acschembio.3c00637	8tpRy8vW
DOI:10.1021/jacsau.3c00707	DOI:10.1021/jacsau.3c00707	doi:10.1021/jacsau.3c00707	5qPERR5E
DOI:10.1038/s41589-021-00907-2	DOI:10.1038/s41589-021-00907-2	doi:10.1038/s41589-021-00907-2	ClHzzrGn
DOI:10.1021/acschembio.1c00865	DOI:10.1021/acschembio.1c00865	doi:10.1021/acschembio.1c00865	laLpQc2u
DOI:10.1021/acs.analchem.4c04134	DOI:10.1021/acs.analchem.4c04134	doi:10.1021/acs.analchem.4c04134	HnAihA6J
DOI:10.1021/jacs.4c03922	DOI:10.1021/jacs.4c03922	doi:10.1021/jacs.4c03922	keHzgRUT
DOI:10.1126/sciadv.adl4628	DOI:10.1126/sciadv.adl4628	doi:10.1126/sciadv.adl4628	eXw91M0D
DOI:10.1021/acs.analchem.3c03228	DOI:10.1021/acs.analchem.3c03228	doi:10.1021/acs.analchem.3c03228	OuTfCeL4
DOI:10.1039/d4cc01583e	DOI:10.1039/d4cc01583e	doi:10.1039/d4cc01583e	Mak2jJSG
